Values	total	status	pValue
Min.	29	smoker	0.22160546106553344
1st Qu.	44	smoker	0.22160546106553344
Median	61	smoker	0.22160546106553344
Mean	87.0434782608696	smoker	0.22160546106553344
3rd Qu.	111	smoker	0.22160546106553344
Max.	260	smoker	0.22160546106553344
Min.	12	non-smoker	0.22160546106553344
1st Qu.	31	non-smoker	0.22160546106553344
Median	53	non-smoker	0.22160546106553344
Mean	76.8571428571429	non-smoker	0.22160546106553344
3rd Qu.	96	non-smoker	0.22160546106553344
Max.	402	non-smoker	0.22160546106553344
