Values	total	status	pValue
Min.	4	smoker	6.203221602336293e-5
1st Qu.	74.75	smoker	6.203221602336293e-5
Median	162.5	smoker	6.203221602336293e-5
Mean	209.781818181818	smoker	6.203221602336293e-5
3rd Qu.	276.75	smoker	6.203221602336293e-5
Max.	1539	smoker	6.203221602336293e-5
Min.	3	non-smoker	6.203221602336293e-5
1st Qu.	24.5	non-smoker	6.203221602336293e-5
Median	64	non-smoker	6.203221602336293e-5
Mean	121.825396825397	non-smoker	6.203221602336293e-5
3rd Qu.	167	non-smoker	6.203221602336293e-5
Max.	914	non-smoker	6.203221602336293e-5
