Values	total	status	pValue
Min.	53	smoker	0.4357701234351337
1st Qu.	84.5	smoker	0.4357701234351337
Median	184	smoker	0.4357701234351337
Mean	205.363636363636	smoker	0.4357701234351337
3rd Qu.	327.5	smoker	0.4357701234351337
Max.	431	smoker	0.4357701234351337
Min.	28	non-smoker	0.4357701234351337
1st Qu.	37	non-smoker	0.4357701234351337
Median	46	non-smoker	0.4357701234351337
Mean	231	non-smoker	0.4357701234351337
3rd Qu.	332.5	non-smoker	0.4357701234351337
Max.	619	non-smoker	0.4357701234351337
