Values	total	status	pValue
Min.	19	smoker	0.6667383066578881
1st Qu.	129.5	smoker	0.6667383066578881
Median	192	smoker	0.6667383066578881
Mean	233.922535211268	smoker	0.6667383066578881
3rd Qu.	322.75	smoker	0.6667383066578881
Max.	859	smoker	0.6667383066578881
Min.	47	non-smoker	0.6667383066578881
1st Qu.	151.75	non-smoker	0.6667383066578881
Median	188	non-smoker	0.6667383066578881
Mean	222.535714285714	non-smoker	0.6667383066578881
3rd Qu.	245.5	non-smoker	0.6667383066578881
Max.	889	non-smoker	0.6667383066578881
