Values	total	status	pValue
Min.	3	smoker	0.6608058608058608
1st Qu.	191	smoker	0.6608058608058608
Median	217	smoker	0.6608058608058608
Mean	207.454545454545	smoker	0.6608058608058608
3rd Qu.	256	smoker	0.6608058608058608
Max.	299	smoker	0.6608058608058608
Min.	36	non-smoker	0.6608058608058608
1st Qu.	155.25	non-smoker	0.6608058608058608
Median	197	non-smoker	0.6608058608058608
Mean	187.5	non-smoker	0.6608058608058608
3rd Qu.	229.25	non-smoker	0.6608058608058608
Max.	320	non-smoker	0.6608058608058608
