Values	total	status	pValue
Min.	1	smoker	0.9252841909667282
1st Qu.	150.75	smoker	0.9252841909667282
Median	204.5	smoker	0.9252841909667282
Mean	288.807339449541	smoker	0.9252841909667282
3rd Qu.	328.5	smoker	0.9252841909667282
Max.	3258	smoker	0.9252841909667282
Min.	12	non-smoker	0.9252841909667282
1st Qu.	153	non-smoker	0.9252841909667282
Median	218.5	non-smoker	0.9252841909667282
Mean	277.947368421053	non-smoker	0.9252841909667282
3rd Qu.	339.25	non-smoker	0.9252841909667282
Max.	869	non-smoker	0.9252841909667282
