Values	total	status	pValue
Min.	1	smoker	0.7119417239557073
1st Qu.	82	smoker	0.7119417239557073
Median	165	smoker	0.7119417239557073
Mean	235.955156950673	smoker	0.7119417239557073
3rd Qu.	275.5	smoker	0.7119417239557073
Max.	3854	smoker	0.7119417239557073
Min.	2	non-smoker	0.7119417239557073
1st Qu.	83	non-smoker	0.7119417239557073
Median	155.5	non-smoker	0.7119417239557073
Mean	226.271276595745	non-smoker	0.7119417239557073
3rd Qu.	287	non-smoker	0.7119417239557073
Max.	1212	non-smoker	0.7119417239557073
