Values	total	status	pValue
Min.	4	smoker	0.026262566636777847
1st Qu.	65	smoker	0.026262566636777847
Median	97	smoker	0.026262566636777847
Mean	147.797909407666	smoker	0.026262566636777847
3rd Qu.	147.5	smoker	0.026262566636777847
Max.	2630	smoker	0.026262566636777847
Min.	2	non-smoker	0.026262566636777847
1st Qu.	50	non-smoker	0.026262566636777847
Median	86.5	non-smoker	0.026262566636777847
Mean	124.825688073395	non-smoker	0.026262566636777847
3rd Qu.	132	non-smoker	0.026262566636777847
Max.	2878	non-smoker	0.026262566636777847
