Values	total	status	pValue
Min.	6	smoker	0.09135956819998947
1st Qu.	11.5	smoker	0.09135956819998947
Median	16	smoker	0.09135956819998947
Mean	79.1818181818182	smoker	0.09135956819998947
3rd Qu.	32.5	smoker	0.09135956819998947
Max.	685	smoker	0.09135956819998947
Min.	3	non-smoker	0.09135956819998947
1st Qu.	8	non-smoker	0.09135956819998947
Median	11	non-smoker	0.09135956819998947
Mean	14.3090909090909	non-smoker	0.09135956819998947
3rd Qu.	18	non-smoker	0.09135956819998947
Max.	54	non-smoker	0.09135956819998947
