Values	total	status	pValue
Min.	1	smoker	8.312395525889007e-11
1st Qu.	97.75	smoker	8.312395525889007e-11
Median	199.5	smoker	8.312395525889007e-11
Mean	284.568181818182	smoker	8.312395525889007e-11
3rd Qu.	381	smoker	8.312395525889007e-11
Max.	1539	smoker	8.312395525889007e-11
Min.	3	non-smoker	8.312395525889007e-11
1st Qu.	34.25	non-smoker	8.312395525889007e-11
Median	74.5	non-smoker	8.312395525889007e-11
Mean	170.822784810127	non-smoker	8.312395525889007e-11
3rd Qu.	237.75	non-smoker	8.312395525889007e-11
Max.	1483	non-smoker	8.312395525889007e-11
