Values	total	status	pValue
Min.	1	smoker	0.9835362001955823
1st Qu.	23	smoker	0.9835362001955823
Median	35	smoker	0.9835362001955823
Mean	365.018867924528	smoker	0.9835362001955823
3rd Qu.	48	smoker	0.9835362001955823
Max.	17520	smoker	0.9835362001955823
Min.	1	non-smoker	0.9835362001955823
1st Qu.	23.25	non-smoker	0.9835362001955823
Median	34.5	non-smoker	0.9835362001955823
Mean	36.6666666666667	non-smoker	0.9835362001955823
3rd Qu.	46.75	non-smoker	0.9835362001955823
Max.	112	non-smoker	0.9835362001955823
