Values	total	status	pValue
Min.	12	smoker	9.745828591946359e-4
1st Qu.	50	smoker	9.745828591946359e-4
Median	68	smoker	9.745828591946359e-4
Mean	65.3023255813954	smoker	9.745828591946359e-4
3rd Qu.	82	smoker	9.745828591946359e-4
Max.	120	smoker	9.745828591946359e-4
Min.	5	non-smoker	9.745828591946359e-4
1st Qu.	31.25	non-smoker	9.745828591946359e-4
Median	48	non-smoker	9.745828591946359e-4
Mean	49.8095238095238	non-smoker	9.745828591946359e-4
3rd Qu.	67.75	non-smoker	9.745828591946359e-4
Max.	109	non-smoker	9.745828591946359e-4
