Values	total	status	pValue
Min.	1	smoker	0.5599989693444041
1st Qu.	127	smoker	0.5599989693444041
Median	194	smoker	0.5599989693444041
Mean	263.105263157895	smoker	0.5599989693444041
3rd Qu.	304	smoker	0.5599989693444041
Max.	3258	smoker	0.5599989693444041
Min.	12	non-smoker	0.5599989693444041
1st Qu.	127	non-smoker	0.5599989693444041
Median	188	non-smoker	0.5599989693444041
Mean	229.310344827586	non-smoker	0.5599989693444041
3rd Qu.	260	non-smoker	0.5599989693444041
Max.	869	non-smoker	0.5599989693444041
