Values	total	status	pValue
Min.	6	smoker	0.49297776078749844
1st Qu.	7	smoker	0.49297776078749844
Median	8	smoker	0.49297776078749844
Mean	26	smoker	0.49297776078749844
3rd Qu.	52	smoker	0.49297776078749844
Max.	57	smoker	0.49297776078749844
Min.	5	non-smoker	0.49297776078749844
1st Qu.	22.75	non-smoker	0.49297776078749844
Median	29	non-smoker	0.49297776078749844
Mean	33.6666666666667	non-smoker	0.49297776078749844
3rd Qu.	42	non-smoker	0.49297776078749844
Max.	66	non-smoker	0.49297776078749844
