Values	total	status	pValue
Min.	20	smoker	0.7466165820041419
1st Qu.	40.25	smoker	0.7466165820041419
Median	49.5	smoker	0.7466165820041419
Mean	48.3333333333333	smoker	0.7466165820041419
3rd Qu.	54.25	smoker	0.7466165820041419
Max.	78	smoker	0.7466165820041419
Min.	17	non-smoker	0.7466165820041419
1st Qu.	32.25	non-smoker	0.7466165820041419
Median	40	non-smoker	0.7466165820041419
Mean	47.875	non-smoker	0.7466165820041419
3rd Qu.	63.5	non-smoker	0.7466165820041419
Max.	97	non-smoker	0.7466165820041419
