Values	total	status	pValue
Min.	27	smoker	0.19203070347020346
1st Qu.	78.5	smoker	0.19203070347020346
Median	174	smoker	0.19203070347020346
Mean	206.526315789474	smoker	0.19203070347020346
3rd Qu.	319.25	smoker	0.19203070347020346
Max.	621	smoker	0.19203070347020346
Min.	21	non-smoker	0.19203070347020346
1st Qu.	106.5	non-smoker	0.19203070347020346
Median	194	non-smoker	0.19203070347020346
Mean	271.185185185185	non-smoker	0.19203070347020346
3rd Qu.	340.5	non-smoker	0.19203070347020346
Max.	1042	non-smoker	0.19203070347020346
