Values	total	status	pValue
Min.	36	smoker	0.8560493506365997
1st Qu.	45	smoker	0.8560493506365997
Median	74	smoker	0.8560493506365997
Mean	85.6923076923077	smoker	0.8560493506365997
3rd Qu.	100	smoker	0.8560493506365997
Max.	193	smoker	0.8560493506365997
Min.	39	non-smoker	0.8560493506365997
1st Qu.	49.5	non-smoker	0.8560493506365997
Median	77.5	non-smoker	0.8560493506365997
Mean	118.25	non-smoker	0.8560493506365997
3rd Qu.	92	non-smoker	0.8560493506365997
Max.	462	non-smoker	0.8560493506365997
