Values	total	status	pValue
Min.	34	smoker	0.7954180604830267
1st Qu.	90.75	smoker	0.7954180604830267
Median	101.5	smoker	0.7954180604830267
Mean	100.333333333333	smoker	0.7954180604830267
3rd Qu.	122	smoker	0.7954180604830267
Max.	149	smoker	0.7954180604830267
Min.	41	non-smoker	0.7954180604830267
1st Qu.	84.5	non-smoker	0.7954180604830267
Median	128	non-smoker	0.7954180604830267
Mean	100.333333333333	non-smoker	0.7954180604830267
3rd Qu.	130	non-smoker	0.7954180604830267
Max.	132	non-smoker	0.7954180604830267
