Values	total	status	pValue
Min.	46	smoker	0.8604879599869595
1st Qu.	89.5	smoker	0.8604879599869595
Median	130	smoker	0.8604879599869595
Mean	203.942857142857	smoker	0.8604879599869595
3rd Qu.	159	smoker	0.8604879599869595
Max.	2553	smoker	0.8604879599869595
Min.	17	non-smoker	0.8604879599869595
1st Qu.	86.75	non-smoker	0.8604879599869595
Median	117	non-smoker	0.8604879599869595
Mean	140.34375	non-smoker	0.8604879599869595
3rd Qu.	168.25	non-smoker	0.8604879599869595
Max.	477	non-smoker	0.8604879599869595
