Values	total	status	pValue
Min.	42	smoker	0.3973651663177382
1st Qu.	55	smoker	0.3973651663177382
Median	75	smoker	0.3973651663177382
Mean	103.565217391304	smoker	0.3973651663177382
3rd Qu.	131.5	smoker	0.3973651663177382
Max.	307	smoker	0.3973651663177382
Min.	31	non-smoker	0.3973651663177382
1st Qu.	42	non-smoker	0.3973651663177382
Median	66	non-smoker	0.3973651663177382
Mean	103.666666666667	non-smoker	0.3973651663177382
3rd Qu.	125	non-smoker	0.3973651663177382
Max.	442	non-smoker	0.3973651663177382
