Values	total	status	pValue
Min.	8	smoker	1.74594599688663e-5
1st Qu.	94.75	smoker	1.74594599688663e-5
Median	206	smoker	1.74594599688663e-5
Mean	251.854545454545	smoker	1.74594599688663e-5
3rd Qu.	352.5	smoker	1.74594599688663e-5
Max.	1615	smoker	1.74594599688663e-5
Min.	1	non-smoker	1.74594599688663e-5
1st Qu.	36.25	non-smoker	1.74594599688663e-5
Median	83	non-smoker	1.74594599688663e-5
Mean	151.80303030303	non-smoker	1.74594599688663e-5
3rd Qu.	191.5	non-smoker	1.74594599688663e-5
Max.	1094	non-smoker	1.74594599688663e-5
