Values	total	status	pValue
Min.	29	smoker	0.08111455108359134
1st Qu.	127	smoker	0.08111455108359134
Median	257	smoker	0.08111455108359134
Mean	275.615384615385	smoker	0.08111455108359134
3rd Qu.	335	smoker	0.08111455108359134
Max.	807	smoker	0.08111455108359134
Min.	30	non-smoker	0.08111455108359134
1st Qu.	36.5	non-smoker	0.08111455108359134
Median	106	non-smoker	0.08111455108359134
Mean	123	non-smoker	0.08111455108359134
3rd Qu.	187.5	non-smoker	0.08111455108359134
Max.	277	non-smoker	0.08111455108359134
