Values	total	status	pValue
Min.	7	smoker	1.2351744575706982e-6
1st Qu.	149	smoker	1.2351744575706982e-6
Median	286	smoker	1.2351744575706982e-6
Mean	399.014084507042	smoker	1.2351744575706982e-6
3rd Qu.	520	smoker	1.2351744575706982e-6
Max.	1750	smoker	1.2351744575706982e-6
Min.	3	non-smoker	1.2351744575706982e-6
1st Qu.	53.5	non-smoker	1.2351744575706982e-6
Median	121.5	non-smoker	1.2351744575706982e-6
Mean	263.151162790698	non-smoker	1.2351744575706982e-6
3rd Qu.	348	non-smoker	1.2351744575706982e-6
Max.	1795	non-smoker	1.2351744575706982e-6
