Values	total	status	pValue
Min.	7	smoker	0.7227239036070308
1st Qu.	167.5	smoker	0.7227239036070308
Median	225	smoker	0.7227239036070308
Mean	266.363636363636	smoker	0.7227239036070308
3rd Qu.	348	smoker	0.7227239036070308
Max.	1142	smoker	0.7227239036070308
Min.	58	non-smoker	0.7227239036070308
1st Qu.	173.25	non-smoker	0.7227239036070308
Median	220	non-smoker	0.7227239036070308
Mean	260.071428571429	non-smoker	0.7227239036070308
3rd Qu.	278.25	non-smoker	0.7227239036070308
Max.	1047	non-smoker	0.7227239036070308
