Values	total	status	pValue
Min.	1	smoker	0.9136786364842904
1st Qu.	105	smoker	0.9136786364842904
Median	181	smoker	0.9136786364842904
Mean	261.058035714286	smoker	0.9136786364842904
3rd Qu.	308.75	smoker	0.9136786364842904
Max.	3767	smoker	0.9136786364842904
Min.	17	non-smoker	0.9136786364842904
1st Qu.	97.75	non-smoker	0.9136786364842904
Median	185.5	non-smoker	0.9136786364842904
Mean	261.191489361702	non-smoker	0.9136786364842904
3rd Qu.	336.75	non-smoker	0.9136786364842904
Max.	1674	non-smoker	0.9136786364842904
