Values	total	status	pValue
Min.	2	smoker	0.021672231361936058
1st Qu.	82	smoker	0.021672231361936058
Median	116	smoker	0.021672231361936058
Mean	173.552083333333	smoker	0.021672231361936058
3rd Qu.	170.5	smoker	0.021672231361936058
Max.	2553	smoker	0.021672231361936058
Min.	1	non-smoker	0.021672231361936058
1st Qu.	64.75	non-smoker	0.021672231361936058
Median	107.5	non-smoker	0.021672231361936058
Mean	150.754545454545	non-smoker	0.021672231361936058
3rd Qu.	164.25	non-smoker	0.021672231361936058
Max.	3385	non-smoker	0.021672231361936058
