Values	total	status	pValue
Min.	17	smoker	0.005842839728739827
1st Qu.	21.5	smoker	0.005842839728739827
Median	27	smoker	0.005842839728739827
Mean	97.8181818181818	smoker	0.005842839728739827
3rd Qu.	38	smoker	0.005842839728739827
Max.	793	smoker	0.005842839728739827
Min.	6	non-smoker	0.005842839728739827
1st Qu.	15	non-smoker	0.005842839728739827
Median	18	non-smoker	0.005842839728739827
Mean	21.5636363636364	non-smoker	0.005842839728739827
3rd Qu.	26.5	non-smoker	0.005842839728739827
Max.	66	non-smoker	0.005842839728739827
