Values	total	status	pValue
Min.	7	smoker	3.1459371123591008e-12
1st Qu.	125.75	smoker	3.1459371123591008e-12
Median	242	smoker	3.1459371123591008e-12
Mean	339.71875	smoker	3.1459371123591008e-12
3rd Qu.	451.75	smoker	3.1459371123591008e-12
Max.	1750	smoker	3.1459371123591008e-12
Min.	1	non-smoker	3.1459371123591008e-12
1st Qu.	47.5	non-smoker	3.1459371123591008e-12
Median	101	non-smoker	3.1459371123591008e-12
Mean	210.613496932515	non-smoker	3.1459371123591008e-12
3rd Qu.	272	non-smoker	3.1459371123591008e-12
Max.	1795	non-smoker	3.1459371123591008e-12
