Values	total	status	pValue
Min.	6	smoker	0.43113137197370166
1st Qu.	176	smoker	0.43113137197370166
Median	244	smoker	0.43113137197370166
Mean	302.438848920863	smoker	0.43113137197370166
3rd Qu.	355	smoker	0.43113137197370166
Max.	3339	smoker	0.43113137197370166
Min.	10	non-smoker	0.43113137197370166
1st Qu.	176	non-smoker	0.43113137197370166
Median	226.5	non-smoker	0.43113137197370166
Mean	281.040540540541	non-smoker	0.43113137197370166
3rd Qu.	329.25	non-smoker	0.43113137197370166
Max.	1047	non-smoker	0.43113137197370166
