Values	total	status	pValue
Min.	15	smoker	0.4052902227232693
1st Qu.	71.5	smoker	0.4052902227232693
Median	109	smoker	0.4052902227232693
Mean	225.266666666667	smoker	0.4052902227232693
3rd Qu.	120.5	smoker	0.4052902227232693
Max.	2075	smoker	0.4052902227232693
Min.	5	non-smoker	0.4052902227232693
1st Qu.	25.5	non-smoker	0.4052902227232693
Median	89	non-smoker	0.4052902227232693
Mean	79.9	non-smoker	0.4052902227232693
3rd Qu.	124	non-smoker	0.4052902227232693
Max.	164	non-smoker	0.4052902227232693
