Values	total	status	pValue
Min.	19	smoker	8.081996585706888e-4
1st Qu.	59.5	smoker	8.081996585706888e-4
Median	80	smoker	8.081996585706888e-4
Mean	78.3953488372093	smoker	8.081996585706888e-4
3rd Qu.	100.5	smoker	8.081996585706888e-4
Max.	142	smoker	8.081996585706888e-4
Min.	7	non-smoker	8.081996585706888e-4
1st Qu.	37.25	non-smoker	8.081996585706888e-4
Median	60	non-smoker	8.081996585706888e-4
Mean	59.515873015873	non-smoker	8.081996585706888e-4
3rd Qu.	81	non-smoker	8.081996585706888e-4
Max.	119	non-smoker	8.081996585706888e-4
