Values	total	status	pValue
Min.	27	smoker	0.48145896110402775
1st Qu.	40	smoker	0.48145896110402775
Median	48.5	smoker	0.48145896110402775
Mean	46.8333333333333	smoker	0.48145896110402775
3rd Qu.	54	smoker	0.48145896110402775
Max.	64	smoker	0.48145896110402775
Min.	1	non-smoker	0.48145896110402775
1st Qu.	5.5	non-smoker	0.48145896110402775
Median	44	non-smoker	0.48145896110402775
Mean	38.7272727272727	non-smoker	0.48145896110402775
3rd Qu.	55	non-smoker	0.48145896110402775
Max.	105	non-smoker	0.48145896110402775
