Values	total	status	pValue
Min.	1	smoker	0.11911624395916948
1st Qu.	44.25	smoker	0.11911624395916948
Median	95.5	smoker	0.11911624395916948
Mean	134.868421052632	smoker	0.11911624395916948
3rd Qu.	214.5	smoker	0.11911624395916948
Max.	461	smoker	0.11911624395916948
Min.	18	non-smoker	0.11911624395916948
1st Qu.	66.5	non-smoker	0.11911624395916948
Median	133	non-smoker	0.11911624395916948
Mean	199.153846153846	non-smoker	0.11911624395916948
3rd Qu.	275.5	non-smoker	0.11911624395916948
Max.	630	non-smoker	0.11911624395916948
