Values	total	status	pValue
Min.	2	smoker	0.8457188424432852
1st Qu.	56.5	smoker	0.8457188424432852
Median	74	smoker	0.8457188424432852
Mean	150.571428571429	smoker	0.8457188424432852
3rd Qu.	110.5	smoker	0.8457188424432852
Max.	2506	smoker	0.8457188424432852
Min.	6	non-smoker	0.8457188424432852
1st Qu.	43.75	non-smoker	0.8457188424432852
Median	69	non-smoker	0.8457188424432852
Mean	86.71875	non-smoker	0.8457188424432852
3rd Qu.	115.5	non-smoker	0.8457188424432852
Max.	339	non-smoker	0.8457188424432852
