Values	total	status	pValue
Min.	1	smoker	4.875953501234842e-4
1st Qu.	44	smoker	4.875953501234842e-4
Median	104	smoker	4.875953501234842e-4
Mean	150.872727272727	smoker	4.875953501234842e-4
3rd Qu.	203.75	smoker	4.875953501234842e-4
Max.	1342	smoker	4.875953501234842e-4
Min.	2	non-smoker	4.875953501234842e-4
1st Qu.	18	non-smoker	4.875953501234842e-4
Median	37	non-smoker	4.875953501234842e-4
Mean	88.7377049180328	non-smoker	4.875953501234842e-4
3rd Qu.	148	non-smoker	4.875953501234842e-4
Max.	588	non-smoker	4.875953501234842e-4
