Values	total	status	pValue
Min.	15	smoker	0.6593406593406593
1st Qu.	97	smoker	0.6593406593406593
Median	176	smoker	0.6593406593406593
Mean	162.363636363636	smoker	0.6593406593406593
3rd Qu.	230.5	smoker	0.6593406593406593
Max.	289	smoker	0.6593406593406593
Min.	18	non-smoker	0.6593406593406593
1st Qu.	22.5	non-smoker	0.6593406593406593
Median	27	non-smoker	0.6593406593406593
Mean	211.333333333333	non-smoker	0.6593406593406593
3rd Qu.	308	non-smoker	0.6593406593406593
Max.	589	non-smoker	0.6593406593406593
