Values	total	status	pValue
Min.	4	smoker	0.8648901679512471
1st Qu.	95	smoker	0.8648901679512471
Median	159	smoker	0.8648901679512471
Mean	184.62676056338	smoker	0.8648901679512471
3rd Qu.	254	smoker	0.8648901679512471
Max.	806	smoker	0.8648901679512471
Min.	23	non-smoker	0.8648901679512471
1st Qu.	103.75	non-smoker	0.8648901679512471
Median	161.5	non-smoker	0.8648901679512471
Mean	171.25	non-smoker	0.8648901679512471
3rd Qu.	219	non-smoker	0.8648901679512471
Max.	497	non-smoker	0.8648901679512471
