Values	total	status	pValue
Min.	1	smoker	0.5353320613408471
1st Qu.	64.25	smoker	0.5353320613408471
Median	127.5	smoker	0.5353320613408471
Mean	192.171171171171	smoker	0.5353320613408471
3rd Qu.	227.75	smoker	0.5353320613408471
Max.	3722	smoker	0.5353320613408471
Min.	1	non-smoker	0.5353320613408471
1st Qu.	66	non-smoker	0.5353320613408471
Median	108	non-smoker	0.5353320613408471
Mean	176.772972972973	non-smoker	0.5353320613408471
3rd Qu.	229	non-smoker	0.5353320613408471
Max.	1021	non-smoker	0.5353320613408471
