Values	total	status	pValue
Min.	4	smoker	3.000810994299377e-4
1st Qu.	41	smoker	3.000810994299377e-4
Median	57	smoker	3.000810994299377e-4
Mean	59.72	smoker	3.000810994299377e-4
3rd Qu.	76	smoker	3.000810994299377e-4
Max.	128	smoker	3.000810994299377e-4
Min.	3	non-smoker	3.000810994299377e-4
1st Qu.	27	non-smoker	3.000810994299377e-4
Median	46	non-smoker	3.000810994299377e-4
Mean	46.4487804878049	non-smoker	3.000810994299377e-4
3rd Qu.	65	non-smoker	3.000810994299377e-4
Max.	118	non-smoker	3.000810994299377e-4
