Values	total	status	pValue
Min.	1	smoker	8.057139830998205e-9
1st Qu.	59	smoker	8.057139830998205e-9
Median	130	smoker	8.057139830998205e-9
Mean	210.163323782235	smoker	8.057139830998205e-9
3rd Qu.	286	smoker	8.057139830998205e-9
Max.	1364	smoker	8.057139830998205e-9
Min.	2	non-smoker	8.057139830998205e-9
1st Qu.	19	non-smoker	8.057139830998205e-9
Median	43	non-smoker	8.057139830998205e-9
Mean	125.567741935484	non-smoker	8.057139830998205e-9
3rd Qu.	172.5	non-smoker	8.057139830998205e-9
Max.	1160	non-smoker	8.057139830998205e-9
