Values	total	status	pValue
Min.	8	smoker	0.0011656689881956773
1st Qu.	48.5	smoker	0.0011656689881956773
Median	58	smoker	0.0011656689881956773
Mean	61.8837209302326	smoker	0.0011656689881956773
3rd Qu.	81.5	smoker	0.0011656689881956773
Max.	119	smoker	0.0011656689881956773
Min.	3	non-smoker	0.0011656689881956773
1st Qu.	27	non-smoker	0.0011656689881956773
Median	45.5	non-smoker	0.0011656689881956773
Mean	46.3333333333333	non-smoker	0.0011656689881956773
3rd Qu.	64.75	non-smoker	0.0011656689881956773
Max.	105	non-smoker	0.0011656689881956773
