Values	total	status	pValue
Min.	1	smoker	0.9365460651867061
1st Qu.	86.5	smoker	0.9365460651867061
Median	145.5	smoker	0.9365460651867061
Mean	204.956730769231	smoker	0.9365460651867061
3rd Qu.	249	smoker	0.9365460651867061
Max.	2942	smoker	0.9365460651867061
Min.	23	non-smoker	0.9365460651867061
1st Qu.	93.75	non-smoker	0.9365460651867061
Median	153.5	non-smoker	0.9365460651867061
Mean	188	non-smoker	0.9365460651867061
3rd Qu.	240.5	non-smoker	0.9365460651867061
Max.	673	non-smoker	0.9365460651867061
