Values	total	status	pValue
Min.	4	smoker	0.6967747218780052
1st Qu.	6.5	smoker	0.6967747218780052
Median	9	smoker	0.6967747218780052
Mean	19.6666666666667	smoker	0.6967747218780052
3rd Qu.	27.5	smoker	0.6967747218780052
Max.	46	smoker	0.6967747218780052
Min.	4	non-smoker	0.6967747218780052
1st Qu.	16	non-smoker	0.6967747218780052
Median	22	non-smoker	0.6967747218780052
Mean	23.4545454545455	non-smoker	0.6967747218780052
3rd Qu.	34.5	non-smoker	0.6967747218780052
Max.	45	non-smoker	0.6967747218780052
