Values	total	status	pValue
Min.	1	smoker	0.48470359439068955
1st Qu.	4	smoker	0.48470359439068955
Median	16	smoker	0.48470359439068955
Mean	234.382352941176	smoker	0.48470359439068955
3rd Qu.	26.75	smoker	0.48470359439068955
Max.	7405	smoker	0.48470359439068955
Min.	1	non-smoker	0.48470359439068955
1st Qu.	5	non-smoker	0.48470359439068955
Median	18	non-smoker	0.48470359439068955
Mean	20.3188405797101	non-smoker	0.48470359439068955
3rd Qu.	30	non-smoker	0.48470359439068955
Max.	62	non-smoker	0.48470359439068955
