Values	total	status	pValue
Min.	5	smoker	0.2605927444189592
1st Qu.	66.25	smoker	0.2605927444189592
Median	144.5	smoker	0.2605927444189592
Mean	176.526315789474	smoker	0.2605927444189592
3rd Qu.	263.25	smoker	0.2605927444189592
Max.	508	smoker	0.2605927444189592
Min.	1	non-smoker	0.2605927444189592
1st Qu.	87	non-smoker	0.2605927444189592
Median	185	non-smoker	0.2605927444189592
Mean	237.444444444444	non-smoker	0.2605927444189592
3rd Qu.	333	non-smoker	0.2605927444189592
Max.	800	non-smoker	0.2605927444189592
