Values	total	status	pValue
Min.	1	smoker	0.9605130636678344
1st Qu.	96.75	smoker	0.9605130636678344
Median	161	smoker	0.9605130636678344
Mean	231.366666666667	smoker	0.9605130636678344
3rd Qu.	299.5	smoker	0.9605130636678344
Max.	962	smoker	0.9605130636678344
Min.	5	non-smoker	0.9605130636678344
1st Qu.	93.25	non-smoker	0.9605130636678344
Median	178.5	non-smoker	0.9605130636678344
Mean	227.8	non-smoker	0.9605130636678344
3rd Qu.	273.5	non-smoker	0.9605130636678344
Max.	1158	non-smoker	0.9605130636678344
