Values	total	status	pValue
Min.	8	smoker	0.06580227427386373
1st Qu.	83.75	smoker	0.06580227427386373
Median	105.5	smoker	0.06580227427386373
Mean	105.2	smoker	0.06580227427386373
3rd Qu.	129.75	smoker	0.06580227427386373
Max.	206	smoker	0.06580227427386373
Min.	57	non-smoker	0.06580227427386373
1st Qu.	97.5	non-smoker	0.06580227427386373
Median	123	non-smoker	0.06580227427386373
Mean	148.478260869565	non-smoker	0.06580227427386373
3rd Qu.	185	non-smoker	0.06580227427386373
Max.	469	non-smoker	0.06580227427386373
