Values	total	status	pValue
Min.	3	smoker	0.26687558976669445
1st Qu.	87	smoker	0.26687558976669445
Median	163	smoker	0.26687558976669445
Mean	221.813333333333	smoker	0.26687558976669445
3rd Qu.	317	smoker	0.26687558976669445
Max.	976	smoker	0.26687558976669445
Min.	49	non-smoker	0.26687558976669445
1st Qu.	84.5	non-smoker	0.26687558976669445
Median	123	non-smoker	0.26687558976669445
Mean	188.028571428571	non-smoker	0.26687558976669445
3rd Qu.	233.5	non-smoker	0.26687558976669445
Max.	789	non-smoker	0.26687558976669445
