Values	total	status	pValue
Min.	6	smoker	1.8904520972533578e-4
1st Qu.	58.5	smoker	1.8904520972533578e-4
Median	84	smoker	1.8904520972533578e-4
Mean	96.955223880597	smoker	1.8904520972533578e-4
3rd Qu.	121.5	smoker	1.8904520972533578e-4
Max.	490	smoker	1.8904520972533578e-4
Min.	1	non-smoker	1.8904520972533578e-4
1st Qu.	31	non-smoker	1.8904520972533578e-4
Median	52	non-smoker	1.8904520972533578e-4
Mean	61.7666666666667	non-smoker	1.8904520972533578e-4
3rd Qu.	86	non-smoker	1.8904520972533578e-4
Max.	218	non-smoker	1.8904520972533578e-4
