Values	total	status	pValue
Min.	32	smoker	0.10479689505982362
1st Qu.	46.5	smoker	0.10479689505982362
Median	62	smoker	0.10479689505982362
Mean	91.1304347826087	smoker	0.10479689505982362
3rd Qu.	112.5	smoker	0.10479689505982362
Max.	300	smoker	0.10479689505982362
Min.	15	non-smoker	0.10479689505982362
1st Qu.	34	non-smoker	0.10479689505982362
Median	49	non-smoker	0.10479689505982362
Mean	75.7619047619048	non-smoker	0.10479689505982362
3rd Qu.	90	non-smoker	0.10479689505982362
Max.	413	non-smoker	0.10479689505982362
