Values	total	status	pValue
Min.	5	smoker	0.11462848297213622
1st Qu.	112	smoker	0.11462848297213622
Median	234	smoker	0.11462848297213622
Mean	252.615384615385	smoker	0.11462848297213622
3rd Qu.	280	smoker	0.11462848297213622
Max.	807	smoker	0.11462848297213622
Min.	15	non-smoker	0.11462848297213622
1st Qu.	22.5	non-smoker	0.11462848297213622
Median	101	non-smoker	0.11462848297213622
Mean	114.285714285714	non-smoker	0.11462848297213622
3rd Qu.	189	non-smoker	0.11462848297213622
Max.	261	non-smoker	0.11462848297213622
