Values	total	status	pValue
Min.	6	smoker	8.486695239398668e-6
1st Qu.	108.5	smoker	8.486695239398668e-6
Median	239	smoker	8.486695239398668e-6
Mean	346.672985781991	smoker	8.486695239398668e-6
3rd Qu.	463.5	smoker	8.486695239398668e-6
Max.	1480	smoker	8.486695239398668e-6
Min.	3	non-smoker	8.486695239398668e-6
1st Qu.	40.5	non-smoker	8.486695239398668e-6
Median	98	non-smoker	8.486695239398668e-6
Mean	224.392857142857	non-smoker	8.486695239398668e-6
3rd Qu.	298.5	non-smoker	8.486695239398668e-6
Max.	1637	non-smoker	8.486695239398668e-6
