Values	total	status	pValue
Min.	21	smoker	0.7670859315207008
1st Qu.	141	smoker	0.7670859315207008
Median	204.5	smoker	0.7670859315207008
Mean	240.401408450704	smoker	0.7670859315207008
3rd Qu.	329.75	smoker	0.7670859315207008
Max.	1035	smoker	0.7670859315207008
Min.	48	non-smoker	0.7670859315207008
1st Qu.	154.25	non-smoker	0.7670859315207008
Median	207	non-smoker	0.7670859315207008
Mean	228.035714285714	non-smoker	0.7670859315207008
3rd Qu.	259	non-smoker	0.7670859315207008
Max.	810	non-smoker	0.7670859315207008
