Values	total	status	pValue
Min.	15	smoker	0.0314695370411134
1st Qu.	118.75	smoker	0.0314695370411134
Median	215.5	smoker	0.0314695370411134
Mean	232.84375	smoker	0.0314695370411134
3rd Qu.	280.25	smoker	0.0314695370411134
Max.	758	smoker	0.0314695370411134
Min.	1	non-smoker	0.0314695370411134
1st Qu.	9	non-smoker	0.0314695370411134
Median	17	non-smoker	0.0314695370411134
Mean	60.3333333333333	non-smoker	0.0314695370411134
3rd Qu.	90	non-smoker	0.0314695370411134
Max.	163	non-smoker	0.0314695370411134
