Values	total	status	pValue
Min.	2	smoker	0.6608058608058608
1st Qu.	199.5	smoker	0.6608058608058608
Median	225	smoker	0.6608058608058608
Mean	220.545454545455	smoker	0.6608058608058608
3rd Qu.	265.5	smoker	0.6608058608058608
Max.	334	smoker	0.6608058608058608
Min.	28	non-smoker	0.6608058608058608
1st Qu.	161.5	non-smoker	0.6608058608058608
Median	213.5	non-smoker	0.6608058608058608
Mean	195.75	non-smoker	0.6608058608058608
3rd Qu.	247.75	non-smoker	0.6608058608058608
Max.	328	non-smoker	0.6608058608058608
