Values	total	status	pValue
Min.	42	smoker	0.8106248301803751
1st Qu.	158	smoker	0.8106248301803751
Median	220	smoker	0.8106248301803751
Mean	300.267281105991	smoker	0.8106248301803751
3rd Qu.	352	smoker	0.8106248301803751
Max.	3395	smoker	0.8106248301803751
Min.	6	non-smoker	0.8106248301803751
1st Qu.	150.75	non-smoker	0.8106248301803751
Median	243	non-smoker	0.8106248301803751
Mean	293	non-smoker	0.8106248301803751
3rd Qu.	339	non-smoker	0.8106248301803751
Max.	884	non-smoker	0.8106248301803751
