Values	total	status	pValue
Min.	1	smoker	0.6788162226175934
1st Qu.	83	smoker	0.6788162226175934
Median	164.5	smoker	0.6788162226175934
Mean	235.428571428571	smoker	0.6788162226175934
3rd Qu.	270	smoker	0.6788162226175934
Max.	3804	smoker	0.6788162226175934
Min.	1	non-smoker	0.6788162226175934
1st Qu.	84.75	non-smoker	0.6788162226175934
Median	147.5	non-smoker	0.6788162226175934
Mean	223.36170212766	non-smoker	0.6788162226175934
3rd Qu.	287.25	non-smoker	0.6788162226175934
Max.	1158	non-smoker	0.6788162226175934
