Values	total	status	pValue
Min.	3	smoker	0.028399575806793587
1st Qu.	67.5	smoker	0.028399575806793587
Median	101	smoker	0.028399575806793587
Mean	153.351916376307	smoker	0.028399575806793587
3rd Qu.	154	smoker	0.028399575806793587
Max.	2547	smoker	0.028399575806793587
Min.	1	non-smoker	0.028399575806793587
1st Qu.	55	non-smoker	0.028399575806793587
Median	92	non-smoker	0.028399575806793587
Mean	130.328767123288	non-smoker	0.028399575806793587
3rd Qu.	140	non-smoker	0.028399575806793587
Max.	3104	non-smoker	0.028399575806793587
