Values	total	status	pValue
Min.	2	smoker	0.45533053555988584
1st Qu.	151.5	smoker	0.45533053555988584
Median	221	smoker	0.45533053555988584
Mean	275.501204819277	smoker	0.45533053555988584
3rd Qu.	332	smoker	0.45533053555988584
Max.	3395	smoker	0.45533053555988584
Min.	1	non-smoker	0.45533053555988584
1st Qu.	144.75	non-smoker	0.45533053555988584
Median	214	non-smoker	0.45533053555988584
Mean	253.797297297297	non-smoker	0.45533053555988584
3rd Qu.	301.75	non-smoker	0.45533053555988584
Max.	884	non-smoker	0.45533053555988584
