Values	total	status	pValue
Min.	1	smoker	0.5392535606463484
1st Qu.	13	smoker	0.5392535606463484
Median	33.5	smoker	0.5392535606463484
Mean	331.12	smoker	0.5392535606463484
3rd Qu.	40.75	smoker	0.5392535606463484
Max.	15070	smoker	0.5392535606463484
Min.	1	non-smoker	0.5392535606463484
1st Qu.	21.25	non-smoker	0.5392535606463484
Median	33.5	non-smoker	0.5392535606463484
Mean	34.1274509803922	non-smoker	0.5392535606463484
3rd Qu.	45.75	non-smoker	0.5392535606463484
Max.	88	non-smoker	0.5392535606463484
