Values	total	status	pValue
Min.	2	smoker	0.6856465785138908
1st Qu.	133	smoker	0.6856465785138908
Median	202	smoker	0.6856465785138908
Mean	271.129807692308	smoker	0.6856465785138908
3rd Qu.	319.75	smoker	0.6856465785138908
Max.	3395	smoker	0.6856465785138908
Min.	6	non-smoker	0.6856465785138908
1st Qu.	135	non-smoker	0.6856465785138908
Median	207	non-smoker	0.6856465785138908
Mean	242.689655172414	non-smoker	0.6856465785138908
3rd Qu.	277	non-smoker	0.6856465785138908
Max.	873	non-smoker	0.6856465785138908
