Values	total	status	pValue
Min.	47	smoker	0.1190831358123911
1st Qu.	81	smoker	0.1190831358123911
Median	119	smoker	0.1190831358123911
Mean	162.666666666667	smoker	0.1190831358123911
3rd Qu.	220	smoker	0.1190831358123911
Max.	462	smoker	0.1190831358123911
Min.	106	non-smoker	0.1190831358123911
1st Qu.	126	non-smoker	0.1190831358123911
Median	138	non-smoker	0.1190831358123911
Mean	297	non-smoker	0.1190831358123911
3rd Qu.	365.5	non-smoker	0.1190831358123911
Max.	818	non-smoker	0.1190831358123911
