Values	total	status	pValue
Min.	1	smoker	0.8948030611934991
1st Qu.	115	smoker	0.8948030611934991
Median	166	smoker	0.8948030611934991
Mean	240.241379310345	smoker	0.8948030611934991
3rd Qu.	320	smoker	0.8948030611934991
Max.	1001	smoker	0.8948030611934991
Min.	7	non-smoker	0.8948030611934991
1st Qu.	92.75	non-smoker	0.8948030611934991
Median	181	non-smoker	0.8948030611934991
Mean	231.65	non-smoker	0.8948030611934991
3rd Qu.	292.25	non-smoker	0.8948030611934991
Max.	1207	non-smoker	0.8948030611934991
