Values	total	status	pValue
Min.	102	smoker	0.14285714285714285
1st Qu.	132	smoker	0.14285714285714285
Median	245	smoker	0.14285714285714285
Mean	232.8	smoker	0.14285714285714285
3rd Qu.	331	smoker	0.14285714285714285
Max.	354	smoker	0.14285714285714285
Min.	68	non-smoker	0.14285714285714285
1st Qu.	81	non-smoker	0.14285714285714285
Median	94	non-smoker	0.14285714285714285
Mean	106.333333333333	non-smoker	0.14285714285714285
3rd Qu.	125.5	non-smoker	0.14285714285714285
Max.	157	non-smoker	0.14285714285714285
